Partner,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Netherlands Antilles,741406792,746857272,824200356,1137633614,1485065922,2082020131,2951625832,2055809980,2943154831,1187093257,0,0,0,0,0
New Caledonia,36598335,43231190,45066132,38403106,43607213,57785454,89120063,77859989,108035793,115339950,75103196,72868672,121389089,88666191,65911535
New Zealand,1813090988,1847707506,2072881798,2592076963,2806165775,2717562746,2533906801,2158504659,2820164709,3581197846,3228539259,3225401631,4257761816,3630700528,3574383400
Nicaragua,437028716,501655086,592430711,625460463,751563512,889963276,1094246692,715129472,981363718,1058585304,1128213231,1059306367,1008556849,1267399783,1479204271
Niger,40903721,33618604,34026714,78511944,129173968,69308772,50007174,58240607,48886203,48152287,37367471,46194680,58530382,71605993,66301431
Nigeria,1057765943,1016861767,1554314906,1619788459,2233465992,2777942084,4102387055,3687083853,4060548125,4904789052,5029335221,6388352516,5965869381,3435051357,1894931771
Niue,332595,61803,613285,607643,2540329,1662323,509662,1209612,1570975,716169,771748,249064,111564,71371,75803
Norfolk Island,221048,384262,397632,391532,1939424,1527492,3952840,864840,661175,1043984,1228303,1730958,829925,350312,122379
North Korea,25012257,7977400,23750195,5757048,0,1728160,52151230,856793,2867073,9405834,11952220,6582817,24028661,4751721,139334
Norway,1406476125,1465898293,1604325037,1941882004,2393968843,3040287529,3292198210,2789788721,3099984444,3629656458,3501159741,4616023641,4420750352,3570398787,3924417266
Oman,355988029,322408567,330113184,570725120,828660320,1059179720,1381973854,1126324482,1105209532,1436672881,1746916573,1570964193,2014250100,2355313431,1804081708
Other Countries,187100846,185711004,223996560,216283336,124385407,441208607,182997431,233738869,375897966,225387686,175000278,179871109,101833,0,1771484
Pakistan,693399497,843218928,1680083316,1251631940,1722633113,1943577099,1897845402,1617950218,1901071676,1988785840,1530065196,1645795477,1512816427,1837954459,2107520209
Palau,18521423,15834465,17166436,12225240,10755456,13803500,14065965,14796127,14157003,16831030,16755532,18237634,20521307,25634214,25694149
Panama,1406668117,1848734593,1772470119,2162020485,2660135037,3669201342,4887253843,4292943517,6065898991,8251646494,9828759247,10564548080,10140091953,7674371970,6128003884
Papua New Guinea,23247691,30275992,42635450,55347872,43761533,65888833,70047324,217804185,186079364,304028723,391381919,166733845,143251616,207793894,126318312
Paraguay,432880922,483662004,622872325,895819607,910768324,1236732017,1609936531,1355033256,1810053906,1977345845,1743208491,1932782887,2115595792,1491695557,1970313796
Peru,1562464431,1698531073,2101024891,2309446378,2926839982,4119773437,6182968633,4918842351,6749545624,8341864469,9348621449,10120124634,10055208643,8723968906,7954997340
Philippines,7275982328,7987298248,7086974609,6895406023,7616937667,7712299275,8294867172,5766367618,7376713359,7727870939,8087361107,8403390567,8453447361,7901832878,8199780576
Pitcairn Islands,6082742,3031593,2369109,456290,1365209,1894797,0,568212,3683,15696,40527,0,55591,17405,51658
Poland,686310464,758133744,929243442,1267748385,1960750731,3123428696,4130606117,2301516671,2982925333,3143110865,3346364002,3778311068,3660578608,3715526849,3657654026
Portugal,861271061,862461378,1046078629,1131865366,1470513405,2478481445,2645976274,1084847582,1057882127,1315990308,1097095847,844350936,1120670649,942518384,947974953
Qatar,313949805,407512561,454857542,986642413,1278589136,2523625528,2715854933,2713238087,3159769790,2806681719,3577715161,4957973407,5172548120,4222393023,4925704553
Reunion,2318566,2147091,2619765,3785910,4378145,4753124,8446395,9448244,8214437,154882932,7566899,8774205,11072320,6905271,449559483
Romania,248246589,366894734,525375198,608858767,554007617,676587084,1048179130,672003377,729792681,918551681,832745398,746508997,977213972,753747879,694547260
Russian Federation,2396964154,2447218211,2960996609,3962270261,4700325257,7283267667,9334581764,5332081493,5993665458,8318439250,10695291383,11144747483,10752405030,7086535713,5791672600
Rwanda,10185014,7918639,11199108,10534162,11684654,16050053,20449259,34145955,30608174,119651782,30489992,25191269,21219489,14281660,74666080
Saint Helena,2103427,2285481,7132017,2732629,1754323,3279597,2034633,2893506,692094,1901890,4847886,2866797,489827,3720487,746138
Saint Kitts and Nevis,49460951,58767790,60326577,94069439,127215672,110676625,123894416,108056908,131030912,115840644,106150374,142958744,180068984,149735796,144530266
Saint Lucia,99499159,119544308,105297266,135389135,149061140,165252471,241025030,136219773,401530949,315651418,376957631,594301914,693823181,515415136,438802252
Saint Pierre and Miquelon,801329,84544,652107,980031,446610,221553,400795,135133,14691,118559,179852,261629,4364,227459,62460
Saint Vincent and the Grenadines,40448783,46216288,45462339,45411401,58326805,68952798,82692856,74851479,85970257,80602721,98707927,93180570,103619626,84722498,93595862
Samoa,7606825,10548690,12407583,14538961,18293393,16716327,13306266,18683664,19124418,23786831,24702919,28394642,22948737,22719660,27982493
San Marino,5828774,5972087,3954174,4676009,8965182,13890976,9328760,8132793,3990083,2009836,1347152,1873295,5977212,5011879,4653976
Sao Tome and Principe,1973506,1394508,3707514,10153283,3709233,8414824,3268944,4018129,1358738,6123966,870234,1998050,1088495,853963,1994248
Saudi Arabia,4780735939,4595749142,5256748140,6805402418,7639533026,10395890781,12484248431,10792157268,11506200861,13923664673,17961238469,18962914928,18716920271,19790447422,17972302130
Senegal,74624935,101813201,89420141,141499953,96865399,150414680,137103698,175723538,218782926,265150828,149125719,229108446,170875243,198825180,184329381
Serbia,0,0,0,0,0,109583090,207357458,112594021,104469213,126632272,127658133,141973440,135035904,126269420,145142099
Serbia and Montenegro,78107743,49937003,142933461,132496330,147142660,0,0,0,0,0,0,0,0,0,0
Seychelles,8244982,7162995,13813411,17912292,9525964,9473317,24967766,34068446,10681706,13056829,14968779,12189931,12451133,18542809,12431693
Sierra Leone,25459491,28244360,40624624,37829353,39246151,55420539,59360501,42537601,61057483,102791973,100735979,82411287,87931206,77325724,63175925
Singapore,16217920468,16560174923,19397373146,20466073458,23825546496,25618565860,27853610178,22231821976,29008615357,31282363017,30523214544,30665030257,30067829728,28474339456,26724875540
Sint Maarten,0,0,0,0,0,0,0,0,0,397678059,702440846,828898068,777566086,741204275,711499452
Slovakia,92696658,115203591,131679530,149800634,422476654,503251782,547543286,209588452,255851944,302411668,335549229,295818376,445176240,379538474,293193246
Slovenia,130855079,139491087,191998901,233830317,239128814,296840744,309595949,243645097,328108783,668166646,307877888,269491341,301210859,346040192,331199274
